seconds,data1,data2,data3,data4,data5,data6,data7,data8,data9
0.082,1647.581827063996,1666.927210552027,1666.927210552027,1666.927210552027,1666.927210552027,1666.927210552027,111.91,0.0,0.0
0.084,1637.9091353199804,1589.545676599902,1589.545676599902,1589.545676599902,1589.545676599902,1589.545676599902,111.91,0.0,0.0
0.086,1644.3575964826573,1537.9579872984852,1537.9579872984852,1537.9579872984852,1537.9579872984852,1537.9579872984852,111.91,0.0,0.0
0.088,1650.8060576453345,1566.9760625305323,1566.9760625305323,1566.9760625305323,1566.9760625305323,1566.9760625305323,111.91,0.0,0.0
0.09,1654.030288226673,1357.401074743527,1357.401074743527,1357.401074743527,1357.401074743527,1357.401074743527,111.91,0.0,0.0
0.092,1650.8060576453345,1209.086468001954,1209.086468001954,1209.086468001954,1209.086468001954,1209.086468001954,111.91,0.0,0.0
0.094,1650.8060576453345,1534.7337567171467,1534.7337567171467,1534.7337567171467,1534.7337567171467,1534.7337567171467,111.91,0.0,0.0
0.096,1660.4787493893502,1618.563751831949,1618.563751831949,1618.563751831949,1618.563751831949,1618.563751831949,111.91,0.0,0.0
0.098,1673.3756717147041,1592.7699071812406,1592.7699071812406,1592.7699071812406,1592.7699071812406,1592.7699071812406,111.91,0.0,0.0
0.1,1666.927210552027,1847.4841231069859,1847.4841231069859,1847.4841231069859,1847.4841231069859,1847.4841231069859,111.91,0.0,0.0
0.102,1641.133365901319,1976.4533463605273,1976.4533463605273,1976.4533463605273,1976.4533463605273,1976.4533463605273,111.91,0.0,0.0
0.104,1625.0122129946262,1805.5691255495844,1805.5691255495844,1805.5691255495844,1805.5691255495844,1805.5691255495844,111.91,0.0,0.0
0.106,1634.6849047386418,1512.164142647777,1512.164142647777,1512.164142647777,1512.164142647777,1512.164142647777,111.91,165.44,111.91
0.108,1654.030288226673,1505.7156814851,1505.7156814851,1505.7156814851,1505.7156814851,1505.7156814851,111.91,165.44,111.91
0.11,1657.2545188080117,1647.581827063996,1647.581827063996,1647.581827063996,1647.581827063996,1647.581827063996,111.91,165.44,111.91
0.112,1637.9091353199804,1808.7933561309233,1808.7933561309233,1808.7933561309233,1808.7933561309233,1808.7933561309233,111.91,165.44,111.91
0.114,1647.581827063996,1731.411822178798,1731.411822178798,1731.411822178798,1731.411822178798,1731.411822178798,111.91,165.44,111.91
0.116,1654.030288226673,1605.666829506595,1605.666829506595,1605.666829506595,1605.666829506595,1605.666829506595,111.91,165.44,111.91
0.118,1666.927210552027,1315.4860771861258,1315.4860771861258,1315.4860771861258,1315.4860771861258,1315.4860771861258,111.91,165.44,111.91
0.12,1663.7029799706886,1431.5583781143134,1431.5583781143134,1431.5583781143134,1431.5583781143134,1431.5583781143134,111.91,165.44,111.91
0.122,1663.7029799706886,1815.2418172936002,1815.2418172936002,1815.2418172936002,1815.2418172936002,1815.2418172936002,111.91,165.44,111.91
0.124,1663.7029799706886,2040.9379579872982,2040.9379579872982,2040.9379579872982,2040.9379579872982,2040.9379579872982,111.91,165.44,111.91
0.126,1644.3575964826573,1992.5744992672203,1992.5744992672203,1992.5744992672203,1992.5744992672203,1992.5744992672203,111.91,165.44,111.91
0.128,1631.4606741573032,1805.5691255495844,1805.5691255495844,1805.5691255495844,1805.5691255495844,1805.5691255495844,111.91,165.44,111.91
0.13,1618.563751831949,1331.6072300928186,1331.6072300928186,1331.6072300928186,1331.6072300928186,1331.6072300928186,111.91,165.44,111.91
0.132,1615.3395212506105,1251.001465559355,1251.001465559355,1251.001465559355,1251.001465559355,1251.001465559355,96.97,164.56,103.13
0.134,1621.7879824132876,1489.5945285784073,1489.5945285784073,1489.5945285784073,1489.5945285784073,1489.5945285784073,96.97,164.56,103.13
0.136,1641.133365901319,1599.2183683439177,1599.2183683439177,1599.2183683439177,1599.2183683439177,1599.2183683439177,96.97,164.56,103.13
0.138,1666.927210552027,1750.7572056668293,1750.7572056668293,1750.7572056668293,1750.7572056668293,1750.7572056668293,96.97,164.56,103.13
0.14,1683.04836345872,1828.1387396189546,1828.1387396189546,1828.1387396189546,1828.1387396189546,1828.1387396189546,96.97,164.56,103.13
0.142,1679.8241328773813,1873.277967757694,1873.277967757694,1873.277967757694,1873.277967757694,1873.277967757694,0.0,0.0,0.0
0.144,1654.030288226673,1702.3937469467512,1702.3937469467512,1702.3937469467512,1702.3937469467512,1702.3937469467512,0.0,0.0,0.0
0.146,1634.6849047386418,1847.4841231069859,1847.4841231069859,1847.4841231069859,1847.4841231069859,1847.4841231069859,0.0,0.0,0.0
0.148,1631.4606741573032,1889.3991206643866,1889.3991206643866,1889.3991206643866,1889.3991206643866,1889.3991206643866,0.0,0.0,0.0
0.15,1637.9091353199804,1663.7029799706886,1663.7029799706886,1663.7029799706886,1663.7029799706886,1663.7029799706886,0.0,0.0,0.0
0.152,1657.2545188080117,1350.9526135808499,1350.9526135808499,1350.9526135808499,1350.9526135808499,1350.9526135808499,0.0,0.0,0.0
0.154,1650.8060576453345,1105.9110893991206,1105.9110893991206,1105.9110893991206,1105.9110893991206,1105.9110893991206,0.0,0.0,0.0
0.156,1628.2364435759646,1367.0737664875426,1367.0737664875426,1367.0737664875426,1367.0737664875426,1367.0737664875426,0.0,0.0,0.0
0.158,1647.581827063996,1792.6722032242303,1792.6722032242303,1792.6722032242303,1792.6722032242303,1792.6722032242303,164.56,102.25,90.53
0.16,1660.4787493893502,1702.3937469467512,1702.3937469467512,1702.3937469467512,1702.3937469467512,1702.3937469467512,164.56,102.25,90.53
0.162,1676.5999022960427,1712.0664386907667,1712.0664386907667,1712.0664386907667,1712.0664386907667,1712.0664386907667,164.56,102.25,90.53
0.164,1676.5999022960427,1766.8783585735218,1766.8783585735218,1766.8783585735218,1766.8783585735218,1766.8783585735218,164.56,102.25,90.53
0.166,1647.581827063996,1583.097215437225,1583.097215437225,1583.097215437225,1583.097215437225,1583.097215437225,164.56,102.25,90.53
0.168,1647.581827063996,1425.1099169516363,1425.1099169516363,1425.1099169516363,1425.1099169516363,1425.1099169516363,164.56,102.25,90.53
0.17,1657.2545188080117,1576.6487542745479,1576.6487542745479,1576.6487542745479,1576.6487542745479,1576.6487542745479,164.56,102.25,90.53
0.172,1644.3575964826573,1863.6052760136783,1863.6052760136783,1863.6052760136783,1863.6052760136783,1863.6052760136783,164.56,102.25,90.53
0.174,1644.3575964826573,1966.7806546165118,1966.7806546165118,1966.7806546165118,1966.7806546165118,1966.7806546165118,164.56,102.25,90.53
0.176,1641.133365901319,1989.3502686858815,1989.3502686858815,1989.3502686858815,1989.3502686858815,1989.3502686858815,164.56,102.25,90.53
0.178,1641.133365901319,2002.2471910112356,2002.2471910112356,2002.2471910112356,2002.2471910112356,2002.2471910112356,164.56,102.25,90.53
0.18,1631.4606741573032,1786.2237420615531,1786.2237420615531,1786.2237420615531,1786.2237420615531,1786.2237420615531,164.56,102.25,90.53
0.182,1628.2364435759646,1357.401074743527,1357.401074743527,1357.401074743527,1357.401074743527,1357.401074743527,164.56,102.25,90.53
0.184,1628.2364435759646,947.9237909135319,947.9237909135319,947.9237909135319,947.9237909135319,947.9237909135319,164.56,104.0,94.63
0.186,1644.3575964826573,1321.934538348803,1321.934538348803,1321.934538348803,1321.934538348803,1321.934538348803,164.56,104.0,94.63
0.188,1641.133365901319,2115.095261358085,2115.095261358085,2115.095261358085,2115.095261358085,2115.095261358085,164.56,104.0,94.63
0.19,1650.8060576453345,2008.6956521739128,2008.6956521739128,2008.6956521739128,2008.6956521739128,2008.6956521739128,164.56,104.0,94.63
0.192,1654.030288226673,1615.3395212506105,1615.3395212506105,1615.3395212506105,1615.3395212506105,1615.3395212506105,164.56,104.0,94.63
0.194,1637.9091353199804,1731.411822178798,1731.411822178798,1731.411822178798,1731.411822178798,1731.411822178798,164.56,104.0,94.63
0.196,1637.9091353199804,1763.6541279921835,1763.6541279921835,1763.6541279921835,1763.6541279921835,1763.6541279921835,164.56,104.0,94.63
0.198,1654.030288226673,1615.3395212506105,1615.3395212506105,1615.3395212506105,1615.3395212506105,1615.3395212506105,164.56,104.0,94.63
0.2,1666.927210552027,1438.0068392769906,1438.0068392769906,1438.0068392769906,1438.0068392769906,1438.0068392769906,164.56,104.0,94.63
0.202,1670.1514411333656,1383.1949193942353,1383.1949193942353,1383.1949193942353,1383.1949193942353,1383.1949193942353,164.56,104.0,94.63
0.204,1666.927210552027,1505.7156814851,1505.7156814851,1505.7156814851,1505.7156814851,1505.7156814851,164.56,104.0,94.63
0.206,1663.7029799706886,1712.0664386907667,1712.0664386907667,1712.0664386907667,1712.0664386907667,1712.0664386907667,164.56,104.0,94.63
0.208,1663.7029799706886,1792.6722032242303,1792.6722032242303,1792.6722032242303,1792.6722032242303,1792.6722032242303,164.56,104.0,94.63
0.21,1660.4787493893502,1970.0048851978502,1970.0048851978502,1970.0048851978502,1970.0048851978502,1970.0048851978502,0.0,0.0,0.0
0.212,1650.8060576453345,1824.9145090376157,1824.9145090376157,1824.9145090376157,1824.9145090376157,1824.9145090376157,0.0,0.0,0.0
0.214,1631.4606741573032,1247.7772349780166,1247.7772349780166,1247.7772349780166,1247.7772349780166,1247.7772349780166,0.0,0.0,0.0
0.216,1634.6849047386418,1267.1226184660477,1267.1226184660477,1267.1226184660477,1267.1226184660477,1267.1226184660477,0.0,0.0,0.0
0.218,1641.133365901319,1692.7210552027354,1692.7210552027354,1692.7210552027354,1692.7210552027354,1692.7210552027354,0.0,0.0,0.0
0.22,1637.9091353199804,1779.775280898876,1779.775280898876,1779.775280898876,1779.775280898876,1779.775280898876,0.0,0.0,0.0
0.222,1641.133365901319,1708.8422081094284,1708.8422081094284,1708.8422081094284,1708.8422081094284,1708.8422081094284,0.0,0.0,0.0
0.224,1650.8060576453345,1721.7391304347825,1721.7391304347825,1721.7391304347825,1721.7391304347825,1721.7391304347825,0.0,0.0,0.0
0.226,1654.030288226673,1818.4660478749386,1818.4660478749386,1818.4660478749386,1818.4660478749386,1818.4660478749386,0.0,0.0,0.0
0.228,1666.927210552027,1695.9452857840743,1695.9452857840743,1695.9452857840743,1695.9452857840743,1695.9452857840743,0.0,0.0,0.0
0.23,1650.8060576453345,1499.2672203224229,1499.2672203224229,1499.2672203224229,1499.2672203224229,1499.2672203224229,0.0,0.0,0.0
0.232,1637.9091353199804,1502.4914509037615,1502.4914509037615,1502.4914509037615,1502.4914509037615,1502.4914509037615,0.0,0.0,0.0
0.234,1641.133365901319,1641.133365901319,1641.133365901319,1641.133365901319,1641.133365901319,1641.133365901319,0.0,0.0,0.0
0.236,1654.030288226673,1789.447972642892,1789.447972642892,1789.447972642892,1789.447972642892,1789.447972642892,164.56,113.96,114.84
0.238,1647.581827063996,1560.5276013678551,1560.5276013678551,1560.5276013678551,1560.5276013678551,1560.5276013678551,164.56,113.96,114.84
0.24,1650.8060576453345,1502.4914509037615,1502.4914509037615,1502.4914509037615,1502.4914509037615,1502.4914509037615,164.56,113.96,114.84
0.242,1660.4787493893502,1702.3937469467512,1702.3937469467512,1702.3937469467512,1702.3937469467512,1702.3937469467512,164.56,113.96,114.84
0.244,1660.4787493893502,1911.9687347337563,1911.9687347337563,1911.9687347337563,1911.9687347337563,1911.9687347337563,164.56,113.96,114.84
0.246,1644.3575964826573,1689.4968246213969,1689.4968246213969,1689.4968246213969,1689.4968246213969,1689.4968246213969,164.56,113.96,114.84
0.248,1637.9091353199804,1541.1822178798238,1541.1822178798238,1541.1822178798238,1541.1822178798238,1541.1822178798238,164.56,113.96,114.84
0.25,1637.9091353199804,1534.7337567171467,1534.7337567171467,1534.7337567171467,1534.7337567171467,1534.7337567171467,164.56,113.96,114.84
0.252,1644.3575964826573,1689.4968246213969,1689.4968246213969,1689.4968246213969,1689.4968246213969,1689.4968246213969,164.56,113.96,114.84
0.254,1644.3575964826573,1631.4606741573032,1631.4606741573032,1631.4606741573032,1631.4606741573032,1631.4606741573032,164.56,113.96,114.84
0.256,1644.3575964826573,1318.7103077674644,1318.7103077674644,1318.7103077674644,1318.7103077674644,1318.7103077674644,164.56,113.96,114.84
0.258,1666.927210552027,1251.001465559355,1251.001465559355,1251.001465559355,1251.001465559355,1251.001465559355,164.56,113.96,114.84
0.26,1676.5999022960427,1647.581827063996,1647.581827063996,1647.581827063996,1647.581827063996,1647.581827063996,164.56,113.96,114.84
0.262,1663.7029799706886,2066.7318026380067,2066.7318026380067,2066.7318026380067,2066.7318026380067,2066.7318026380067,163.24,116.89,123.05
0.264,1644.3575964826573,2189.252564728871,2189.252564728871,2189.252564728871,2189.252564728871,2189.252564728871,163.24,116.89,123.05
0.266,1631.4606741573032,1889.3991206643866,1889.3991206643866,1889.3991206643866,1889.3991206643866,1889.3991206643866,163.24,116.89,123.05
0.268,1634.6849047386418,1321.934538348803,1321.934538348803,1321.934538348803,1321.934538348803,1321.934538348803,163.24,116.89,123.05
0.27,1641.133365901319,1286.468001954079,1286.468001954079,1286.468001954079,1286.468001954079,1286.468001954079,163.24,116.89,123.05
0.272,1654.030288226673,1612.1152906692719,1612.1152906692719,1612.1152906692719,1612.1152906692719,1612.1152906692719,163.24,116.89,123.05
0.274,1657.2545188080117,1705.6179775280896,1705.6179775280896,1705.6179775280896,1705.6179775280896,1705.6179775280896,163.24,116.89,123.05
0.276,1647.581827063996,1808.7933561309233,1808.7933561309233,1808.7933561309233,1808.7933561309233,1808.7933561309233,163.24,116.89,123.05
0.278,1644.3575964826573,1741.0845139228136,1741.0845139228136,1741.0845139228136,1741.0845139228136,1741.0845139228136,163.24,116.89,123.05
0.28,1647.581827063996,1828.1387396189546,1828.1387396189546,1828.1387396189546,1828.1387396189546,1828.1387396189546,163.24,116.89,123.05
0.282,1628.2364435759646,1744.3087445041522,1744.3087445041522,1744.3087445041522,1744.3087445041522,1744.3087445041522,163.24,116.89,123.05
0.284,1628.2364435759646,1502.4914509037615,1502.4914509037615,1502.4914509037615,1502.4914509037615,1502.4914509037615,163.24,116.89,123.05
0.286,1641.133365901319,1534.7337567171467,1534.7337567171467,1534.7337567171467,1534.7337567171467,1534.7337567171467,163.24,116.89,123.05
0.288,1644.3575964826573,1718.514899853444,1718.514899853444,1718.514899853444,1718.514899853444,1718.514899853444,165.44,110.16,113.09
0.29,1650.8060576453345,1724.9633610161209,1724.9633610161209,1724.9633610161209,1724.9633610161209,1724.9633610161209,165.44,110.16,113.09
0.292,1647.581827063996,1637.9091353199804,1637.9091353199804,1637.9091353199804,1637.9091353199804,1637.9091353199804,165.44,110.16,113.09
0.294,1657.2545188080117,1405.764533463605,1405.764533463605,1405.764533463605,1405.764533463605,1405.764533463605,165.44,110.16,113.09
