seconds,data1,data2,data3,data4,data5,data6,data7,data8,data9
0.074,1644.3575964826573,1705.6179775280896,1705.6179775280896,1705.6179775280896,1705.6179775280896,1705.6179775280896,0.0,0.0,0.0
0.076,1644.3575964826573,1595.9941377625792,1595.9941377625792,1595.9941377625792,1595.9941377625792,1595.9941377625792,0.0,0.0,0.0
0.078,1644.3575964826573,1547.630679042501,1547.630679042501,1547.630679042501,1547.630679042501,1547.630679042501,0.0,0.0,0.0
0.08,1647.581827063996,1566.9760625305323,1566.9760625305323,1566.9760625305323,1566.9760625305323,1566.9760625305323,154.85,98.73,98.14
0.082,1654.030288226673,1595.9941377625792,1595.9941377625792,1595.9941377625792,1595.9941377625792,1595.9941377625792,154.85,98.73,98.14
0.084,1650.8060576453345,1621.7879824132876,1621.7879824132876,1621.7879824132876,1621.7879824132876,1621.7879824132876,154.85,98.73,98.14
0.086,1654.030288226673,1631.4606741573032,1631.4606741573032,1631.4606741573032,1631.4606741573032,1631.4606741573032,154.85,98.73,98.14
0.088,1657.2545188080117,1644.3575964826573,1644.3575964826573,1644.3575964826573,1644.3575964826573,1644.3575964826573,154.85,98.73,98.14
0.09,1654.030288226673,1644.3575964826573,1644.3575964826573,1644.3575964826573,1644.3575964826573,1644.3575964826573,154.85,98.73,98.14
0.092,1654.030288226673,1615.3395212506105,1615.3395212506105,1615.3395212506105,1615.3395212506105,1615.3395212506105,154.85,98.73,98.14
0.094,1650.8060576453345,1595.9941377625792,1595.9941377625792,1595.9941377625792,1595.9941377625792,1595.9941377625792,154.85,98.73,98.14
0.096,1654.030288226673,1583.097215437225,1583.097215437225,1583.097215437225,1583.097215437225,1583.097215437225,154.85,98.73,98.14
0.098,1654.030288226673,1595.9941377625792,1595.9941377625792,1595.9941377625792,1595.9941377625792,1595.9941377625792,154.85,98.73,98.14
0.1,1657.2545188080117,1608.8910600879333,1608.8910600879333,1608.8910600879333,1608.8910600879333,1608.8910600879333,154.85,98.73,98.14
0.102,1650.8060576453345,1612.1152906692719,1612.1152906692719,1612.1152906692719,1612.1152906692719,1612.1152906692719,154.85,98.73,98.14
0.104,1654.030288226673,1628.2364435759646,1628.2364435759646,1628.2364435759646,1628.2364435759646,1628.2364435759646,154.85,98.73,98.14
0.106,1650.8060576453345,1654.030288226673,1654.030288226673,1654.030288226673,1654.030288226673,1654.030288226673,155.29,102.83,104.3
0.108,1650.8060576453345,1663.7029799706886,1663.7029799706886,1663.7029799706886,1663.7029799706886,1663.7029799706886,155.29,102.83,104.3
0.11,1650.8060576453345,1670.1514411333656,1670.1514411333656,1670.1514411333656,1670.1514411333656,1670.1514411333656,155.29,102.83,104.3
0.112,1650.8060576453345,1666.927210552027,1666.927210552027,1666.927210552027,1666.927210552027,1666.927210552027,155.29,102.83,104.3
0.114,1650.8060576453345,1666.927210552027,1666.927210552027,1666.927210552027,1666.927210552027,1666.927210552027,155.29,102.83,104.3
0.116,1647.581827063996,1663.7029799706886,1663.7029799706886,1663.7029799706886,1663.7029799706886,1663.7029799706886,155.29,102.83,104.3
0.118,1650.8060576453345,1666.927210552027,1666.927210552027,1666.927210552027,1666.927210552027,1666.927210552027,155.29,102.83,104.3
0.12,1644.3575964826573,1670.1514411333656,1670.1514411333656,1670.1514411333656,1670.1514411333656,1670.1514411333656,155.29,102.83,104.3
0.122,1647.581827063996,1670.1514411333656,1670.1514411333656,1670.1514411333656,1670.1514411333656,1670.1514411333656,155.29,102.83,104.3
0.124,1647.581827063996,1676.5999022960427,1676.5999022960427,1676.5999022960427,1676.5999022960427,1676.5999022960427,155.29,102.83,104.3
0.126,1647.581827063996,1692.7210552027354,1692.7210552027354,1692.7210552027354,1692.7210552027354,1692.7210552027354,0.0,0.0,0.0
0.128,1650.8060576453345,1683.04836345872,1683.04836345872,1683.04836345872,1683.04836345872,1683.04836345872,0.0,0.0,0.0
0.13,1647.581827063996,1650.8060576453345,1650.8060576453345,1650.8060576453345,1650.8060576453345,1650.8060576453345,0.0,0.0,0.0
0.132,1650.8060576453345,1618.563751831949,1618.563751831949,1618.563751831949,1618.563751831949,1618.563751831949,155.74,104.59,106.35
0.134,1647.581827063996,1615.3395212506105,1615.3395212506105,1615.3395212506105,1615.3395212506105,1615.3395212506105,155.74,104.59,106.35
0.136,1650.8060576453345,1637.9091353199804,1637.9091353199804,1637.9091353199804,1637.9091353199804,1637.9091353199804,155.74,104.59,106.35
0.138,1650.8060576453345,1663.7029799706886,1663.7029799706886,1663.7029799706886,1663.7029799706886,1663.7029799706886,155.74,104.59,106.35
0.14,1654.030288226673,1689.4968246213969,1689.4968246213969,1689.4968246213969,1689.4968246213969,1689.4968246213969,155.74,104.59,106.35
0.142,1650.8060576453345,1705.6179775280896,1705.6179775280896,1705.6179775280896,1705.6179775280896,1705.6179775280896,155.74,104.59,106.35
0.144,1647.581827063996,1689.4968246213969,1689.4968246213969,1689.4968246213969,1689.4968246213969,1689.4968246213969,155.74,104.59,106.35
0.146,1647.581827063996,1676.5999022960427,1676.5999022960427,1676.5999022960427,1676.5999022960427,1676.5999022960427,155.74,104.59,106.35
0.148,1647.581827063996,1683.04836345872,1683.04836345872,1683.04836345872,1683.04836345872,1683.04836345872,155.74,104.59,106.35
0.15,1647.581827063996,1673.3756717147041,1673.3756717147041,1673.3756717147041,1673.3756717147041,1673.3756717147041,155.74,104.59,106.35
0.152,1647.581827063996,1654.030288226673,1654.030288226673,1654.030288226673,1654.030288226673,1654.030288226673,155.74,104.59,106.35
0.154,1650.8060576453345,1625.0122129946262,1625.0122129946262,1625.0122129946262,1625.0122129946262,1625.0122129946262,155.74,104.59,106.35
0.156,1647.581827063996,1621.7879824132876,1621.7879824132876,1621.7879824132876,1621.7879824132876,1621.7879824132876,155.74,104.59,106.35
0.158,1650.8060576453345,1695.9452857840743,1695.9452857840743,1695.9452857840743,1695.9452857840743,1695.9452857840743,156.62,106.35,106.35
0.16,1647.581827063996,1724.9633610161209,1724.9633610161209,1724.9633610161209,1724.9633610161209,1724.9633610161209,156.62,106.35,106.35
0.162,1647.581827063996,1712.0664386907667,1712.0664386907667,1712.0664386907667,1712.0664386907667,1712.0664386907667,156.62,106.35,106.35
0.164,1644.3575964826573,1657.2545188080117,1657.2545188080117,1657.2545188080117,1657.2545188080117,1657.2545188080117,156.62,106.35,106.35
0.166,1644.3575964826573,1592.7699071812406,1592.7699071812406,1592.7699071812406,1592.7699071812406,1592.7699071812406,156.62,106.35,106.35
0.168,1650.8060576453345,1566.9760625305323,1566.9760625305323,1566.9760625305323,1566.9760625305323,1566.9760625305323,156.62,106.35,106.35
0.17,1654.030288226673,1550.8549096238396,1550.8549096238396,1550.8549096238396,1550.8549096238396,1550.8549096238396,156.62,106.35,106.35
0.172,1660.4787493893502,1576.6487542745479,1576.6487542745479,1576.6487542745479,1576.6487542745479,1576.6487542745479,156.62,106.35,106.35
0.174,1654.030288226673,1570.200293111871,1570.200293111871,1570.200293111871,1570.200293111871,1570.200293111871,156.62,106.35,106.35
0.176,1650.8060576453345,1576.6487542745479,1576.6487542745479,1576.6487542745479,1576.6487542745479,1576.6487542745479,156.62,106.35,106.35
0.178,1650.8060576453345,1599.2183683439177,1599.2183683439177,1599.2183683439177,1599.2183683439177,1599.2183683439177,156.62,106.35,106.35
0.18,1650.8060576453345,1621.7879824132876,1621.7879824132876,1621.7879824132876,1621.7879824132876,1621.7879824132876,156.62,106.35,106.35
0.182,1650.8060576453345,1670.1514411333656,1670.1514411333656,1670.1514411333656,1670.1514411333656,1670.1514411333656,156.62,106.35,106.35
0.184,1647.581827063996,1673.3756717147041,1673.3756717147041,1673.3756717147041,1673.3756717147041,1673.3756717147041,0.0,0.0,0.0
0.186,1647.581827063996,1660.4787493893502,1660.4787493893502,1660.4787493893502,1660.4787493893502,1660.4787493893502,0.0,0.0,0.0
0.188,1647.581827063996,1683.04836345872,1683.04836345872,1683.04836345872,1683.04836345872,1683.04836345872,0.0,0.0,0.0
0.19,1647.581827063996,1683.04836345872,1683.04836345872,1683.04836345872,1683.04836345872,1683.04836345872,0.0,0.0,0.0
0.192,1647.581827063996,1654.030288226673,1654.030288226673,1654.030288226673,1654.030288226673,1654.030288226673,0.0,0.0,0.0
0.194,1647.581827063996,1647.581827063996,1647.581827063996,1647.581827063996,1647.581827063996,1647.581827063996,0.0,0.0,0.0
0.196,1650.8060576453345,1663.7029799706886,1663.7029799706886,1663.7029799706886,1663.7029799706886,1663.7029799706886,0.0,0.0,0.0
0.198,1650.8060576453345,1663.7029799706886,1663.7029799706886,1663.7029799706886,1663.7029799706886,1663.7029799706886,0.0,0.0,0.0
0.2,1650.8060576453345,1650.8060576453345,1650.8060576453345,1650.8060576453345,1650.8060576453345,1650.8060576453345,0.0,0.0,0.0
0.202,1650.8060576453345,1631.4606741573032,1631.4606741573032,1631.4606741573032,1631.4606741573032,1631.4606741573032,0.0,0.0,0.0
0.204,1647.581827063996,1625.0122129946262,1625.0122129946262,1625.0122129946262,1625.0122129946262,1625.0122129946262,0.0,0.0,0.0
0.206,1650.8060576453345,1641.133365901319,1641.133365901319,1641.133365901319,1641.133365901319,1641.133365901319,0.0,0.0,0.0
0.208,1647.581827063996,1654.030288226673,1654.030288226673,1654.030288226673,1654.030288226673,1654.030288226673,0.0,0.0,0.0
0.21,1650.8060576453345,1663.7029799706886,1663.7029799706886,1663.7029799706886,1663.7029799706886,1663.7029799706886,155.74,98.73,94.34
0.212,1650.8060576453345,1654.030288226673,1654.030288226673,1654.030288226673,1654.030288226673,1654.030288226673,155.74,98.73,94.34
0.214,1650.8060576453345,1663.7029799706886,1663.7029799706886,1663.7029799706886,1663.7029799706886,1663.7029799706886,155.74,98.73,94.34
0.216,1650.8060576453345,1670.1514411333656,1670.1514411333656,1670.1514411333656,1670.1514411333656,1670.1514411333656,155.74,98.73,94.34
0.218,1647.581827063996,1676.5999022960427,1676.5999022960427,1676.5999022960427,1676.5999022960427,1676.5999022960427,155.74,98.73,94.34
0.22,1644.3575964826573,1695.9452857840743,1695.9452857840743,1695.9452857840743,1695.9452857840743,1695.9452857840743,155.74,98.73,94.34
0.222,1647.581827063996,1689.4968246213969,1689.4968246213969,1689.4968246213969,1689.4968246213969,1689.4968246213969,155.74,98.73,94.34
0.224,1647.581827063996,1676.5999022960427,1676.5999022960427,1676.5999022960427,1676.5999022960427,1676.5999022960427,155.74,98.73,94.34
0.226,1647.581827063996,1663.7029799706886,1663.7029799706886,1663.7029799706886,1663.7029799706886,1663.7029799706886,155.74,98.73,94.34
0.228,1647.581827063996,1644.3575964826573,1644.3575964826573,1644.3575964826573,1644.3575964826573,1644.3575964826573,155.74,98.73,94.34
0.23,1650.8060576453345,1631.4606741573032,1631.4606741573032,1631.4606741573032,1631.4606741573032,1631.4606741573032,155.74,98.73,94.34
0.232,1654.030288226673,1625.0122129946262,1625.0122129946262,1625.0122129946262,1625.0122129946262,1625.0122129946262,155.74,98.73,94.34
0.234,1650.8060576453345,1618.563751831949,1618.563751831949,1618.563751831949,1618.563751831949,1618.563751831949,155.74,98.73,94.34
0.236,1650.8060576453345,1625.0122129946262,1625.0122129946262,1625.0122129946262,1625.0122129946262,1625.0122129946262,154.85,97.56,91.99
0.238,1654.030288226673,1670.1514411333656,1670.1514411333656,1670.1514411333656,1670.1514411333656,1670.1514411333656,154.85,97.56,91.99
0.24,1654.030288226673,1708.8422081094284,1708.8422081094284,1708.8422081094284,1708.8422081094284,1708.8422081094284,154.85,97.56,91.99
0.242,1650.8060576453345,1715.2906692721056,1715.2906692721056,1715.2906692721056,1715.2906692721056,1715.2906692721056,154.85,97.56,91.99
0.244,1650.8060576453345,1666.927210552027,1666.927210552027,1666.927210552027,1666.927210552027,1666.927210552027,154.85,97.56,91.99
0.246,1647.581827063996,1612.1152906692719,1612.1152906692719,1612.1152906692719,1612.1152906692719,1612.1152906692719,154.85,97.56,91.99
0.248,1650.8060576453345,1586.3214460185636,1586.3214460185636,1586.3214460185636,1586.3214460185636,1586.3214460185636,154.85,97.56,91.99
0.25,1650.8060576453345,1644.3575964826573,1644.3575964826573,1644.3575964826573,1644.3575964826573,1644.3575964826573,154.85,97.56,91.99
0.252,1650.8060576453345,1683.04836345872,1683.04836345872,1683.04836345872,1683.04836345872,1683.04836345872,154.85,97.56,91.99
0.254,1654.030288226673,1644.3575964826573,1644.3575964826573,1644.3575964826573,1644.3575964826573,1644.3575964826573,154.85,97.56,91.99
0.256,1654.030288226673,1625.0122129946262,1625.0122129946262,1625.0122129946262,1625.0122129946262,1625.0122129946262,154.85,97.56,91.99
0.258,1654.030288226673,1654.030288226673,1654.030288226673,1654.030288226673,1654.030288226673,1654.030288226673,154.85,97.56,91.99
0.26,1650.8060576453345,1728.1875915974597,1728.1875915974597,1728.1875915974597,1728.1875915974597,1728.1875915974597,154.85,97.56,91.99
0.262,1647.581827063996,1737.8602833414752,1737.8602833414752,1737.8602833414752,1737.8602833414752,1737.8602833414752,156.18,99.61,94.04
0.264,1647.581827063996,1647.581827063996,1647.581827063996,1647.581827063996,1647.581827063996,1647.581827063996,156.18,99.61,94.04
0.266,1644.3575964826573,1544.4064484611624,1544.4064484611624,1544.4064484611624,1544.4064484611624,1544.4064484611624,156.18,99.61,94.04
0.268,1644.3575964826573,1534.7337567171467,1534.7337567171467,1534.7337567171467,1534.7337567171467,1534.7337567171467,156.18,99.61,94.04
0.27,1654.030288226673,1570.200293111871,1570.200293111871,1570.200293111871,1570.200293111871,1570.200293111871,156.18,99.61,94.04
0.272,1657.2545188080117,1589.545676599902,1589.545676599902,1589.545676599902,1589.545676599902,1589.545676599902,156.18,99.61,94.04
0.274,1650.8060576453345,1602.4425989252563,1602.4425989252563,1602.4425989252563,1602.4425989252563,1602.4425989252563,156.18,99.61,94.04
0.276,1647.581827063996,1634.6849047386418,1634.6849047386418,1634.6849047386418,1634.6849047386418,1634.6849047386418,156.18,99.61,94.04
0.278,1650.8060576453345,1644.3575964826573,1644.3575964826573,1644.3575964826573,1644.3575964826573,1644.3575964826573,156.18,99.61,94.04
0.28,1650.8060576453345,1644.3575964826573,1644.3575964826573,1644.3575964826573,1644.3575964826573,1644.3575964826573,156.18,99.61,94.04
0.282,1650.8060576453345,1647.581827063996,1647.581827063996,1647.581827063996,1647.581827063996,1647.581827063996,156.18,99.61,94.04
0.284,1647.581827063996,1650.8060576453345,1650.8060576453345,1650.8060576453345,1650.8060576453345,1650.8060576453345,156.18,99.61,94.04
0.286,1650.8060576453345,1654.030288226673,1654.030288226673,1654.030288226673,1654.030288226673,1654.030288226673,156.18,99.61,94.04
0.288,1647.581827063996,1666.927210552027,1666.927210552027,1666.927210552027,1666.927210552027,1666.927210552027,154.85,100.78,96.09
0.29,1647.581827063996,1663.7029799706886,1663.7029799706886,1663.7029799706886,1663.7029799706886,1663.7029799706886,154.85,100.78,96.09
0.292,1650.8060576453345,1663.7029799706886,1663.7029799706886,1663.7029799706886,1663.7029799706886,1663.7029799706886,154.85,100.78,96.09
0.294,1650.8060576453345,1686.2725940400583,1686.2725940400583,1686.2725940400583,1686.2725940400583,1686.2725940400583,154.85,100.78,96.09
0.296,1650.8060576453345,1712.0664386907667,1712.0664386907667,1712.0664386907667,1712.0664386907667,1712.0664386907667,154.85,100.78,96.09
0.298,1650.8060576453345,1705.6179775280896,1705.6179775280896,1705.6179775280896,1705.6179775280896,1705.6179775280896,154.85,100.78,96.09
0.3,1647.581827063996,1673.3756717147041,1673.3756717147041,1673.3756717147041,1673.3756717147041,1673.3756717147041,154.85,100.78,96.09
0.302,1647.581827063996,1647.581827063996,1647.581827063996,1647.581827063996,1647.581827063996,1647.581827063996,154.85,100.78,96.09
0.304,1647.581827063996,1634.6849047386418,1634.6849047386418,1634.6849047386418,1634.6849047386418,1634.6849047386418,154.85,100.78,96.09
0.306,1650.8060576453345,1634.6849047386418,1634.6849047386418,1634.6849047386418,1634.6849047386418,1634.6849047386418,154.85,100.78,96.09
0.308,1650.8060576453345,1637.9091353199804,1637.9091353199804,1637.9091353199804,1637.9091353199804,1637.9091353199804,154.85,100.78,96.09
0.31,1650.8060576453345,1647.581827063996,1647.581827063996,1647.581827063996,1647.581827063996,1647.581827063996,154.85,100.78,96.09
0.312,1650.8060576453345,1650.8060576453345,1650.8060576453345,1650.8060576453345,1650.8060576453345,1650.8060576453345,154.85,100.78,96.09
0.314,1650.8060576453345,1666.927210552027,1666.927210552027,1666.927210552027,1666.927210552027,1666.927210552027,0.0,0.0,0.0
0.316,1650.8060576453345,1663.7029799706886,1663.7029799706886,1663.7029799706886,1663.7029799706886,1663.7029799706886,0.0,0.0,0.0
0.318,1650.8060576453345,1660.4787493893502,1660.4787493893502,1660.4787493893502,1660.4787493893502,1660.4787493893502,0.0,0.0,0.0
0.32,1647.581827063996,1650.8060576453345,1650.8060576453345,1650.8060576453345,1650.8060576453345,1650.8060576453345,0.0,0.0,0.0
0.322,1647.581827063996,1644.3575964826573,1644.3575964826573,1644.3575964826573,1644.3575964826573,1644.3575964826573,0.0,0.0,0.0
0.324,1647.581827063996,1641.133365901319,1641.133365901319,1641.133365901319,1641.133365901319,1641.133365901319,0.0,0.0,0.0
0.326,1647.581827063996,1657.2545188080117,1657.2545188080117,1657.2545188080117,1657.2545188080117,1657.2545188080117,0.0,0.0,0.0
0.328,1647.581827063996,1718.514899853444,1718.514899853444,1718.514899853444,1718.514899853444,1718.514899853444,0.0,0.0,0.0
0.33,1650.8060576453345,1679.8241328773813,1679.8241328773813,1679.8241328773813,1679.8241328773813,1679.8241328773813,0.0,0.0,0.0
