seconds,data1,data2,data3,data4,data5,data6,data7,data8,data9
14.376,1554.07914,1853.932584,1853.932584,1853.932584,1853.932584,1853.932584,0,0,0
14.378,1592.769907,2337.567171,2337.567171,2337.567171,2337.567171,2337.567171,0,0,0
14.38,1605.66683,1857.156815,1857.156815,1857.156815,1857.156815,1857.156815,35.29,21.09,18.46
14.382,1650.806058,1970.004885,1970.004885,1970.004885,1970.004885,1970.004885,35.29,21.09,18.46
14.384,1637.909135,1753.981436,1753.981436,1753.981436,1753.981436,1753.981436,35.29,21.09,18.46
14.386,1618.563752,1641.133366,1641.133366,1641.133366,1641.133366,1641.133366,35.29,21.09,18.46
14.388,1637.909135,1363.849536,1363.849536,1363.849536,1363.849536,1363.849536,35.29,21.09,18.46
14.39,1676.599902,2582.608696,2582.608696,2582.608696,2582.608696,2582.608696,35.29,21.09,18.46
14.392,1712.066439,2824.425989,2824.425989,2824.425989,2824.425989,2824.425989,35.29,21.09,18.46
14.394,1663.70298,2302.100635,2302.100635,2302.100635,2302.100635,2302.100635,35.29,21.09,18.46
14.396,1634.684905,354.6653639,354.6653639,354.6653639,354.6653639,354.6653639,35.29,21.09,18.46
14.398,1718.5149,70.93307279,70.93307279,70.93307279,70.93307279,70.93307279,35.29,21.09,18.46
14.4,1776.55105,364.3380557,364.3380557,364.3380557,364.3380557,364.3380557,35.29,21.09,18.46
14.402,1686.272594,1247.777235,1247.777235,1247.777235,1247.777235,1247.777235,35.29,21.09,18.46
14.404,1608.89106,1670.151441,1670.151441,1670.151441,1670.151441,1670.151441,35.29,21.09,18.46
14.406,1570.200293,1799.120664,1799.120664,1799.120664,1799.120664,1799.120664,33.53,23.73,19.04
14.408,1595.994138,1834.587201,1834.587201,1834.587201,1834.587201,1834.587201,33.53,23.73,19.04
14.41,1628.236444,1824.914509,1824.914509,1824.914509,1824.914509,1824.914509,33.53,23.73,19.04
14.412,1647.581827,1902.296043,1902.296043,1902.296043,1902.296043,1902.296043,33.53,23.73,19.04
14.414,1644.357596,1960.332193,1960.332193,1960.332193,1960.332193,1960.332193,33.53,23.73,19.04
14.416,1654.030288,2008.695652,2008.695652,2008.695652,2008.695652,2008.695652,33.53,23.73,19.04
14.418,1657.254519,1905.520274,1905.520274,1905.520274,1905.520274,1905.520274,33.53,23.73,19.04
14.42,1663.70298,1821.690278,1821.690278,1821.690278,1821.690278,1821.690278,33.53,23.73,19.04
14.422,1676.599902,1821.690278,1821.690278,1821.690278,1821.690278,1821.690278,33.53,23.73,19.04
14.424,1666.927211,1802.344895,1802.344895,1802.344895,1802.344895,1802.344895,33.53,23.73,19.04
14.426,1650.806058,1689.496825,1689.496825,1689.496825,1689.496825,1689.496825,33.53,23.73,19.04
14.428,1657.254519,1734.636053,1734.636053,1734.636053,1734.636053,1734.636053,33.53,23.73,19.04
14.43,1666.927211,1824.914509,1824.914509,1824.914509,1824.914509,1824.914509,33.53,23.73,19.04
14.432,1647.581827,1676.599902,1676.599902,1676.599902,1676.599902,1676.599902,30.44,19.04,15.82
14.434,1631.460674,1557.303371,1557.303371,1557.303371,1557.303371,1557.303371,30.44,19.04,15.82
14.436,1634.684905,1576.648754,1576.648754,1576.648754,1576.648754,1576.648754,30.44,19.04,15.82
14.438,1628.236444,1760.429897,1760.429897,1760.429897,1760.429897,1760.429897,30.44,19.04,15.82
14.44,1625.012213,2021.592574,2021.592574,2021.592574,2021.592574,2021.592574,30.44,19.04,15.82
14.442,1650.806058,2279.531021,2279.531021,2279.531021,2279.531021,2279.531021,30.44,19.04,15.82
14.444,1676.599902,2389.154861,2389.154861,2389.154861,2389.154861,2389.154861,30.44,19.04,15.82
14.446,1666.927211,2005.471422,2005.471422,2005.471422,2005.471422,2005.471422,30.44,19.04,15.82
14.448,1699.169516,1276.79531,1276.79531,1276.79531,1276.79531,1276.79531,30.44,19.04,15.82
14.45,1695.945286,986.6145579,986.6145579,986.6145579,986.6145579,986.6145579,30.44,19.04,15.82
14.452,1689.496825,1144.601856,1144.601856,1144.601856,1144.601856,1144.601856,30.44,19.04,15.82
14.454,1670.151441,1821.690278,1821.690278,1821.690278,1821.690278,1821.690278,30.44,19.04,15.82
